capture_id,label,label_name,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
C_i1800_j0,0,benign_external,147.8,6,0.0,5402.246264811953,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002056757609049479,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,4918.850709510965,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00022588835822211372,10.0,25868.96
C_i1800_j0,0,benign,131.1,6,0.0,6389.8598415600245,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1311.0,66.0,527.0,131.1,141.6138764387163,1311.0,0.0001738866170247396,10.0,20054.49
C_i1800_j0,0,benign_external,147.8,6,0.0,9397.947568899843,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0001182291242811415,10.0,25868.96
C_i1800_j0,0,benign_external,1836.0,6,0.0,350.2312682333662,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29376.0,66.0,9157.0,1836.0,3107.834796928563,29376.0,0.00304560661315918,16.0,9658637.125
C_i1800_j0,0,benign,301.3,6,0.0,13247.959570435882,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013.0,66.0,2228.0,301.3,644.3086294626202,3013.0,8.387035793728298e-05,10.0,415133.61
C_i1800_j0,0,benign_external,147.8,6,0.0,4343.728251864126,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00025579664442274306,10.0,25868.96
C_i1800_j0,0,benign,1377.0714285714287,6,0.0,9517.059319286873,1.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19279.0,66.0,7306.0,1377.0714285714287,2596.2345938544404,19279.0,0.00011315712561974159,14.0,6740434.066326531
C_i1800_j0,0,benign_external,147.8,6,0.0,4666.040716431194,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00023812717861599394,10.0,25868.96
C_i1800_j0,0,benign,3654.3333333333335,6,0.0,26316.2187033164,1.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76741.0,66.0,19266.0,3654.3333333333335,5869.672622762934,76741.0,3.989934921264648e-05,21.0,34453056.6984127
C_i1800_j0,0,benign_external,147.8,6,0.0,4664.483985765125,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00023820665147569444,10.0,25868.96
C_i1800_j0,0,benign,94.2,6,0.0,6557.698561601001,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,66.0,246.0,94.2,56.543434632148056,942.0,0.0001694361368815104,10.0,3197.16
C_i1800_j0,0,benign_external,147.8,6,0.0,5091.410536537995,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00021823247273763022,10.0,25868.96
